Date_Heure;W1_raw;W1_f;W2_raw;W2_f;W3_raw;W3_f;W4_raw;W4_f
2026-06-06 12:02:33;1023.00;1018.96;1023.00;1019.69;1023.00;1015.56;1023.00;1017.64
2026-06-06 12:22:33;1023.00;1016.01;1003.00;1015.98;1013.00;1016.47;1015.00;1017.02
2026-06-06 12:42:33;1014.00;1018.08;1008.00;1016.75;1023.00;1015.25;1012.00;1016.72
2026-06-06 13:02:33;1016.00;1015.99;1023.00;1014.58;1016.00;1015.66;1023.00;1015.70
2026-06-06 13:22:34;1020.00;1016.30;1023.00;1016.43;1011.00;1012.33;995.00;1015.94
2026-06-06 13:42:34;1023.00;1015.08;1023.00;1014.89;1023.00;1015.91;1017.00;1016.31
2026-06-06 14:02:34;1003.00;1015.66;1011.00;1015.21;1023.00;1014.58;1023.00;1014.06
2026-06-06 14:22:34;999.00;1017.06;1016.00;1015.33;1013.00;1014.07;1023.00;1017.58
2026-06-06 14:42:34;1010.00;1015.51;1023.00;1016.00;1021.00;1013.90;1014.00;1014.56
2026-06-06 15:02:34;1023.00;1017.32;1016.00;1015.78;1023.00;1016.90;998.00;1016.34
2026-06-06 15:22:35;1008.00;1018.15;1023.00;1015.56;1013.00;1014.12;1023.00;1016.32
2026-06-06 15:42:35;1014.00;1012.92;1020.00;1012.86;1020.00;1015.70;1012.00;1014.39
2026-06-06 16:02:35;1023.00;1015.62;1016.00;1018.36;1023.00;1015.76;1023.00;1015.37
2026-06-06 16:22:35;984.00;1018.86;1002.00;1016.40;1015.00;1016.83;1023.00;1011.87
2026-06-06 16:42:35;1013.00;1014.75;1023.00;1017.02;1023.00;1016.25;1008.00;1016.62
2026-06-06 17:02:35;1023.00;1012.47;1017.00;1014.96;1001.00;1015.43;1023.00;1016.42
2026-06-06 17:22:35;1023.00;1015.23;1023.00;1016.81;1015.00;1013.35;1023.00;1015.55
2026-06-06 17:42:35;1017.00;1015.17;1017.00;1014.83;1021.00;1014.70;1008.00;1014.80
2026-06-06 18:02:36;1017.00;1016.27;1023.00;1017.70;1023.00;1014.16;992.00;1016.64
