24747,288704220.00,271188900.00,288292480.00,273324990.00
24747,282455360.00,286076610.00,304798340.00,271990500.00
139238,270676030.00,286076610.00,303515680.00,276707900.00
24747,277400480.00,291974430.00,290289280.00,288865980.00
139152,286482050.00,293938750.00,285269150.00,270896610.00
253554,275347710.00,279400640.00,279946980.00,291627620.00
24682,300246270.00,295581790.00,299713980.00,265878110.00
24681,298646400.00,275568580.00,289620610.00,244531700.00
24681,126595380000.00, INF, INF, INF
24681,334866810000.00, INF, INF, INF
24681,32643359000.00, INF, INF, INF
24681, INF, INF, INF, INF
24681,17744142000.00, INF, INF, INF
24682,115930490.00,117227350.00,112945620.00,116800790.00
24682,164630100.00,161338420.00,160741570.00,154870050.00
24673,14274.77,81537.38,6156.13,472940.09
24673,14292.83,83552.40,6429.58,632948.19
3686427,15512.30,85693.82,7742.99,383869.69
7348782,15921.70,86798.58,8880.56,375835.78
11011655,16111.59,92255.10,8188.51,366751.19
14674398,17057.97,94685.79,8618.56,372055.59
18336254,15970.56,95654.23,8606.76,378498.97
21996088,15421.42,94115.65,8985.00,374351.03
25658028,16502.46,97329.26,8566.40,372784.94
29322173,15824.81,97871.19,8914.08,374584.34
32980811,16578.46,97820.91,8388.19,366171.59
36643233,16385.51,97600.22,8769.27,370441.69
40304858,17126.07,99124.18,8849.99,379041.03
43963739,15577.09,97960.05,8442.36,376379.38
47626437,15917.69,99106.59,8371.55,369503.13
51285607,15548.18,99594.01,8125.48,367542.38
54945617,15813.83,97462.38,8047.71,385535.97
58607346,14375.44,97466.98,7670.17,382014.00
62269631,15980.59,98299.00,7619.07,385592.03
65932047,15764.86,96551.16,7672.30,377892.72
69594526,14724.18,98065.21,7673.24,384874.97
73257250,15303.53,97870.01,7283.20,391436.84
76919065,14629.41,99069.18,7606.33,389573.81
80578201,15494.24,101214.14,8649.13,383003.56
84240736,15690.86,99971.54,8604.75,397823.81
87899875,16473.43,101002.54,9288.54,388952.09
91562644,15620.99,104687.63,9210.77,402631.00
95225300,16358.48,101426.93,8765.37,394023.06
98888239,18684.84,104981.13,8730.91,398508.78
102550979,16730.59,105894.70,8955.50,398457.44
106213890,16899.83,105885.27,8960.34,385134.50
109876249,16122.57,105154.15,8765.37,399552.78
113538121,16829.72,103834.01,8885.51,381389.81
117198379,16842.71,106738.41,8960.34,399217.38
120860269,16522.53,106066.66,8988.90,400052.44
124519442,16587.55,106942.70,9785.75,385844.38
128182341,15444.32,105315.13,9118.01,356761.38
131844956,15525.16,106118.94,9279.69,362179.19
135507429,17896.84,106506.98,8723.00,348946.75
139166761,16976.89,106814.53,8936.73,363539.94
142828607,15665.01,106244.74,7641.73,361383.41
