49324,990000.00,347164.81,976948.63,355446.44,964249.00,360844.53,82006.96,79071.64
110231,990000.00,349265.53,978370.69,355861.28,964350.94,360502.28,82690.52,79169.71
170144,990000.00,347574.56,976238.25,354665.88,963977.56,360530.97,81404.72,82174.90
230056,990000.00,350499.28,974948.81,354132.19,964162.38,360287.97,83157.75,79769.48
289971,990000.00,349669.50,974510.50,356065.09,964943.06,360136.78,83953.07,80547.45
349883,990000.00,348877.72,974293.31,355507.22,963890.69,361836.13,83685.52,79433.95
409797,990000.00,347816.63,973889.56,353310.31,964388.50,363259.53,83560.30,80234.11
469711,990000.00,348099.41,974061.06,354783.66,964260.19,361305.88,82080.73,79615.82
529627,990000.00,347147.22,973843.94,354980.16,964392.25,361590.88,83014.36,80136.74
589541,990000.00,348608.75,973813.50,354849.75,964328.06,362786.03,83920.02,79845.13
649455,990000.00,346228.00,973558.19,350852.50,964569.63,359381.38,82435.02,79656.41
709370,990000.00,348815.88,973653.56,352920.28,964347.31,360745.41,82526.95,79438.44
769285,990000.00,348078.16,973402.06,355026.53,964407.38,361149.03,83034.89,79781.87
829198,990000.00,351557.66,973603.88,353427.88,964362.19,360315.00,90934.84,79087.34
889111,990000.00,348203.84,973832.56,358403.94,966487.69,357562.38,92305.97,81974.04
49331,974377.38,341017.66,971599.69,345222.13,964222.56,350914.56,55147.55,51693.66
49327,974304.69,339026.47,971170.38,350350.22,964335.88,357166.31,54841.41,56032.79
49313,990000.00,343476.44,990000.00,355373.16,964098.19,347821.81,39298.43,39172.98
49318,990000.00,339806.44,990000.00,346757.19,964343.44,347108.28,38109.41,37590.96
49327,979239.31,336443.44,971500.81,346254.56,964486.56,351390.53,48120.92,41591.38
49282,19.35,29.03,20.30,29.98,19.35,34.82,49.33,38.71
110038,31.86,62.90,32.93,64.91,34.82,79.43,27.14,43.55
169831,0.00,205.23,0.00,186.82,14.52,240.99,9.68,295.28
229626,0.94,274.86,0.00,217.74,14.52,253.62,9.68,378.60
289423,0.00,264.24,0.00,149.06,8.73,299.06,8.73,207.24
49282,0.00,299.06,0.00,229.43,9.68,216.80,9.68,335.99
110043,0.00,206.18,0.00,196.50,0.00,350.51,11.57,274.86
169837,0.00,276.87,0.00,96.77,18.41,314.63,6.84,415.30
229632,0.00,310.74,0.00,256.45,15.46,228.48,12.51,285.60
289430,0.00,230.37,0.00,279.70,12.51,261.41,11.57,357.24
349229,0.00,302.95,0.94,161.68,9.68,266.25,4.84,264.24
409023,0.00,294.33,0.00,228.48,10.62,287.49,8.73,295.28
468818,0.00,263.30,0.00,233.20,9.68,316.52,14.52,346.62
528616,0.00,262.35,0.00,175.14,8.73,364.91,6.84,278.76
588411,0.00,279.70,0.00,191.66,19.35,287.49,16.40,416.36
648209,0.00,261.41,0.00,260.35,12.51,268.14,10.62,336.94
708008,0.00,264.24,0.00,164.63,12.51,332.10,15.46,333.99
767807,0.00,258.46,0.00,222.70,10.62,336.94,7.79,252.67
827603,0.00,276.87,0.00,274.86,8.73,354.41,7.79,304.01
887399,0.00,282.65,0.00,256.45,9.68,392.05,21.36,321.36
947196,0.00,281.71,0.00,186.82,11.57,313.69,12.51,428.87
1006995,0.00,260.35,0.00,284.66,15.46,270.14,11.57,369.87
1066796,0.00,276.87,0.00,216.80,13.57,217.74,6.84,302.01
1126594,0.00,243.94,0.00,225.53,8.73,282.65,5.90,309.80
1186390,0.00,269.20,0.00,235.21,7.79,260.35,15.46,340.72
1246187,0.00,296.22,0.00,243.00,11.57,254.56,10.62,278.76
1305987,0.00,243.00,0.00,202.28,12.51,300.12,5.90,270.14
1365784,0.00,300.12,0.00,199.45,14.52,291.38,10.62,369.87
1425584,0.00,253.62,0.00,219.75,28.09,329.15,8.73,352.40
1485382,0.00,296.22,0.94,224.59,4.84,333.99,11.57,294.33
1545180,0.00,322.30,0.00,209.13,12.51,249.84,12.51,298.11
1604979,0.00,218.80,0.00,293.39,11.57,286.55,16.40,280.76
1664781,0.00,315.58,0.00,194.49,11.57,294.33,19.35,427.93
1724581,0.00,196.50,0.00,160.74,9.68,302.95,12.51,376.59
1784379,0.00,218.80,0.00,172.31,8.73,304.96,9.68,337.88
1844174,0.00,225.53,0.94,243.94,12.51,383.32,13.57,408.58
1903975,0.00,229.43,0.00,273.92,4.84,271.09,9.68,336.94
1963770,0.00,243.94,0.00,220.69,9.68,311.80,13.57,270.14
2023570,0.00,318.41,0.00,211.01,11.57,288.55,9.68,393.12
2083367,0.00,166.52,0.00,237.10,10.62,288.55,12.51,423.09
2143166,0.00,299.06,0.00,246.89,9.68,259.40,7.79,402.79
2202959,0.00,298.11,0.00,146.22,16.40,255.51,13.57,353.34
2262760,0.00,210.07,0.00,235.21,8.73,336.94,14.52,364.91
2322556,0.00,262.35,0.00,188.83,13.57,302.95,11.57,354.41
2382355,0.00,219.75,0.00,172.31,7.79,338.83,11.57,374.70
2442152,0.00,275.81,0.00,253.62,12.51,269.20,11.57,327.26
2501953,0.00,281.71,0.00,237.10,19.35,431.82,6.84,359.24
2561750,0.00,245.95,0.00,158.73,4.84,323.37,13.57,473.48
2621546,0.00,245.95,0.00,240.05,14.52,311.80,9.68,351.46
2681344,0.00,243.94,0.00,215.85,22.31,280.76,13.57,341.66
2741142,0.00,265.30,0.00,233.20,14.52,252.67,7.79,341.66
2800940,0.00,260.35,0.00,256.45,9.68,314.63,10.62,362.08
2860739,0.00,227.54,0.00,204.29,14.52,350.51,6.84,369.87
2920536,0.00,250.79,0.00,240.99,21.36,399.84,7.79,363.02
2980333,0.00,219.75,0.00,230.37,8.73,354.41,14.52,310.74
3040132,0.00,221.64,0.00,203.34,5.90,346.62,7.79,316.52
3099927,0.00,192.60,0.00,258.46,11.57,369.87,5.90,391.11
3159726,0.00,249.84,0.00,200.39,13.57,313.69,4.84,404.68
3219524,0.00,297.17,0.00,221.64,5.90,316.52,4.84,329.15
3279320,0.00,184.93,0.00,312.75,5.90,327.26,15.46,312.75
3339117,0.00,257.51,0.00,214.91,15.46,393.12,8.73,315.58
3398916,0.00,245.95,0.00,244.89,6.84,382.38,22.31,328.21
3458714,0.00,231.31,0.00,187.88,9.68,282.65,8.73,325.26
3518510,0.00,258.46,0.00,216.80,13.57,252.67,9.68,395.00
3578307,0.00,286.55,0.00,264.24,9.68,378.60,11.57,364.91
3638107,0.00,276.87,0.00,271.09,13.57,355.35,6.84,353.34
3697903,0.00,281.71,0.00,176.20,13.57,338.83,17.47,403.74
3757703,0.00,220.69,0.94,203.34,10.62,320.42,9.68,438.55
3817501,0.00,240.05,0.00,196.50,5.90,296.22,6.84,290.44
3877299,0.00,401.85,0.00,240.05,18.41,252.67,9.68,376.59
3937096,0.00,231.31,0.00,187.88,16.40,317.47,7.79,350.51
3996894,0.00,235.21,0.00,229.43,20.30,317.47,5.90,326.20
4056693,0.00,246.89,0.00,242.05,12.51,300.12,8.73,449.29
4116491,0.00,273.92,0.00,199.45,11.57,297.17,13.57,423.09
4176291,0.00,272.97,0.00,239.10,13.57,248.78,11.57,374.70
4236092,0.00,247.84,0.00,175.14,22.31,299.06,8.73,342.72
4295888,0.00,269.20,0.00,181.04,7.79,340.72,20.30,381.43
4355687,0.00,254.56,0.00,206.18,10.62,305.90,11.57,405.63
4415486,0.00,244.89,0.00,274.86,4.84,259.40,8.73,314.63
4475282,0.00,281.71,0.00,163.57,6.84,281.71,11.57,293.39
4535080,0.00,254.56,0.00,254.56,14.52,338.83,12.51,366.92
4594881,0.00,224.59,0.00,205.23,14.52,252.67,12.51,316.52
4654682,0.00,289.50,0.00,181.04,11.57,326.20,9.68,345.55
4714479,0.00,238.16,0.00,275.81,6.84,247.84,7.79,365.97
4774274,0.00,262.35,0.00,244.89,15.46,318.41,8.73,424.15
4834071,0.00,243.94,0.00,212.90,16.40,273.92,13.57,291.38
4893869,0.00,257.51,0.00,272.97,6.84,318.41,3.89,360.19
