41257,825586.38,11634.22,21944.37,20189.33,24210.54,56788.70,18073.60,20318.16
41257,825761.38,11509.60,22319.45,20037.41,24317.03,57334.25,18136.55,20163.50
41260,825158.88,8314.30,17642.38,16776.43,20534.63,57007.39,16143.42,17468.79
41260,825175.25,8252.00,17651.17,16807.21,20584.47,57035.57,16178.09,17355.81
41260,825024.94,8343.99,17754.31,16494.32,20442.17,57078.24,16110.10,17138.15
113878,824580.88,8363.71,17794.68,16278.90,20316.03,57091.75,16063.11,16988.88
185530,824605.38,8375.99,17824.90,16215.54,20284.52,57110.55,16039.81,16917.13
41261,825091.88,8285.10,17725.05,16065.86,20181.56,57123.58,15973.30,16848.94
94053,824389.19,8309.50,17755.93,16019.69,20146.17,57133.48,15962.52,16796.54
145881,824531.13,8327.95,17774.61,15993.80,20142.07,57146.02,15952.28,16815.21
197711,823678.56,8431.08,17957.96,16111.15,20297.38,57152.05,16060.07,16814.28
41261,824932.63,8160.29,17982.02,16209.47,20333.73,57156.64,16030.48,16677.67
94053,825024.94,8413.63,18014.80,16140.66,20298.22,57162.93,16036.92,16773.90
145881,824940.81,8455.21,17992.50,16108.24,20271.79,57167.03,16017.59,16773.23
197711,824104.63,8462.56,17999.70,16095.08,20260.06,57176.68,15999.84,16758.99
249541,824238.38,8459.68,18006.23,16096.67,20264.31,57181.02,16001.16,16751.78
301370,823804.75,8474.16,18003.64,16067.44,20252.86,57187.54,15981.32,16732.75
41260,824648.63,8444.86,17964.35,16064.29,20237.61,57186.34,15949.01,16711.06
94053,824297.06,8470.37,17998.20,16071.91,20245.23,57187.77,15961.08,16705.47
145881,824480.56,8459.11,17987.59,16054.94,20228.71,57202.28,15942.96,16688.84
197711,824338.56,8449.35,17962.18,16026.65,20207.82,57200.82,15927.73,16658.93
41259,824966.13,11037.11,20443.73,19241.12,23559.53,59040.36,18280.97,18784.11
94066,824940.81,11303.52,20980.95,19124.27,23527.63,58962.05,18461.09,18844.92
145893,824957.94,11352.91,21065.93,19065.68,23484.11,58880.59,18447.94,18795.82
197723,824949.00,11356.78,21084.26,19047.54,23468.32,58856.43,18440.53,18765.50
249553,824916.31,11356.30,21086.98,19043.11,23463.41,58852.23,18436.28,18746.22
301382,824916.31,11356.91,21091.57,19041.31,23459.53,58853.22,18433.28,18733.41
353212,824907.38,11355.20,21091.84,19038.94,23457.74,58854.69,18431.21,18725.70
405041,824949.00,11353.75,21088.84,19036.47,23457.15,58861.12,18429.15,18721.57
456872,824940.81,11353.27,21090.85,19035.36,23457.30,58865.06,18425.87,18717.17
508704,824949.00,11352.07,21090.55,19035.49,23457.01,58866.29,18423.68,18713.45
41254,825141.75,7493.16,11226.98,12888.17,15966.47,34946.45,10744.76,19596.21
94080,824974.31,7765.95,11347.22,12697.43,15454.19,35217.27,10729.55,19337.44
145903,825041.19,7805.20,11325.06,12444.54,15252.33,35398.84,10685.62,19184.61
197728,825049.44,7799.30,11313.44,12309.85,15159.51,35521.27,10654.28,19082.99
249553,825091.88,7790.34,11302.42,12236.71,15106.04,35599.74,10628.56,19009.34
301378,825100.06,7781.49,11295.54,12191.08,15070.46,35646.47,10605.63,18955.26
353204,825049.44,7775.02,11291.06,12161.71,15045.77,35676.14,10584.12,18911.47
405027,825049.44,7768.78,11285.49,12142.42,15027.01,35674.70,10564.53,18875.15
456854,825049.44,7762.21,11281.14,12125.72,15011.77,35672.90,10546.87,18846.86
508680,824983.31,7757.43,11277.02,12112.58,15001.17,35677.58,10535.17,18821.33
560506,825033.13,7752.90,11272.19,12102.15,14987.49,35680.09,10519.18,18799.83
612331,825033.13,7748.37,11267.71,12094.54,14978.19,35678.84,10507.25,18783.97
664156,825024.94,7744.39,11267.96,12088.16,14971.47,35681.00,10496.28,18767.16
715982,825057.63,7742.81,11265.05,12084.11,14963.47,35681.53,10487.69,18757.65
767809,825007.75,7738.62,11261.42,12078.71,14958.17,35682.07,10476.60,18744.84
819634,825033.13,7735.10,11258.51,12074.29,14954.31,35678.84,10466.83,18730.79
871459,824974.31,7731.47,11257.68,12067.91,14947.20,35681.18,10458.97,18726.66
923285,825033.13,7728.30,11254.89,12067.54,14943.72,35679.91,10452.30,18716.76
975111,825007.75,7725.58,11252.83,12062.52,14937.52,35675.97,10446.33,18709.86
1026936,825015.94,7724.00,11251.75,12060.67,14934.94,35673.80,10440.14,18702.85
1078762,824983.31,7721.61,11248.84,12057.00,14928.62,35673.43,10433.59,18698.04
1130588,825057.63,7719.69,11248.50,12054.17,14926.04,35669.67,10427.27,18690.32
1182414,825074.75,7716.41,11245.46,12050.49,14921.92,35668.95,10420.85,18684.96
1234242,825024.94,7714.92,11244.87,12048.52,14918.29,35666.97,10414.42,18679.03
1286070,825041.19,7712.44,11241.23,12046.82,14915.97,35663.73,10410.01,18670.79
1337894,824991.50,7708.36,11240.14,12044.25,14912.23,35662.82,10404.65,18666.80
1389722,824957.94,7707.00,11238.83,12042.28,14911.08,35659.77,10397.50,18662.39
1441547,825024.94,7705.87,11237.73,12038.47,14905.78,35655.82,10392.03,18659.64
1493373,824949.00,7703.48,11235.92,12038.10,14902.43,35653.13,10387.26,18652.35
1545200,825033.13,7700.88,11235.08,12035.28,14900.12,35647.73,10384.66,18647.27
1597027,824949.00,7699.40,11235.42,12032.96,14897.92,35645.02,10382.27,18643.42
1648852,825041.19,7697.48,11233.62,12030.99,14893.14,35646.29,10381.20,18638.05
1700677,825007.75,7697.70,11234.22,12031.24,14892.37,35646.29,10376.93,18636.25
1752504,825024.94,7695.43,11232.66,12029.28,14891.73,35648.80,10376.32,18632.14
1804331,824999.56,7695.67,11231.56,12027.56,14888.51,35647.73,10373.46,18632.56
1856158,825015.94,7693.97,11231.80,12026.82,14888.12,35645.94,10370.97,18631.04
1907983,824983.31,7691.24,11229.62,12025.36,14883.47,35642.34,10369.42,18628.02
1959809,824966.13,7690.00,11229.50,12023.76,14884.38,35639.99,10365.97,18624.44
2011636,825033.13,7687.73,11228.91,12021.43,14880.77,35640.35,10365.73,18621.83
2063464,824940.81,7687.17,11227.71,12019.73,14878.20,35638.39,10364.66,18620.46
2115289,825024.94,7686.26,11226.12,12019.59,14877.80,35638.39,10362.04,18619.91
