Sechage capteurs le 26/06/2026
temps_ms,CapteurBrut1,CapteurBrut2,Reference45K,CapteurFiltre1,CapteurFiltre2,Reference45KFiltre
55029753,11511.29,11134.23,475288.59,11284.50,10927.18,475487.37
55647855,11568.38,11184.21,475279.40,11341.28,10978.59,475445.78
56265958,11609.83,11229.86,475252.28,11394.99,11028.84,475407.09
56884059,11658.10,11278.61,475525.12,11447.61,11078.80,475430.71
57502163,11697.08,11315.61,475459.15,11497.51,11126.16,475436.43
58120266,11728.80,11356.83,475342.43,11543.77,11172.29,475417.65
58738369,11761.95,11398.65,475771.31,11587.40,11217.57,475488.37
59356471,11783.30,11441.68,475594.75,11626.58,11262.39,475509.68
59974572,11815.10,11468.53,475460.25,11664.29,11303.62,475499.81
60592674,11836.54,11505.89,475683.68,11698.74,11344.07,475536.59
61210777,11850.43,11541.68,475832.28,11729.08,11383.59,475595.75
61828879,11864.23,11564.00,475101.71,11756.11,11419.67,475496.93
62446983,11867.21,11591.16,475587.53,11778.33,11453.97,475515.06
63065084,11878.44,11618.37,475356.15,11798.35,11486.85,475483.31
63683186,11879.97,11630.74,475827.00,11814.68,11515.63,475552.06
64301288,11884.91,11642.76,475113.40,11828.72,11541.06,475464.34
64919389,11879.10,11665.34,475256.87,11838.80,11565.91,475422.84
65537489,11883.71,11674.17,475148.46,11847.78,11587.57,475367.96
66155591,11885.19,11683.43,474859.90,11855.26,11606.74,475266.37
66773694,11887.74,11678.99,475993.15,11861.76,11621.19,475411.71
67391799,11889.05,11681.94,475211.62,11867.22,11633.34,475371.68
68009901,11888.01,11683.45,475386.31,11871.37,11643.36,475374.62
68628002,11882.18,11687.07,475091.03,11873.54,11652.10,475317.93
69246105,11877.79,11684.20,475620.75,11874.39,11658.52,475378.50
69864208,11881.08,11675.16,475953.56,11875.73,11661.85,475493.53
70482310,11878.17,11660.40,475406.40,11876.22,11661.56,475476.12
71100410,11876.79,11663.54,475632.40,11876.33,11661.95,475507.37
71718513,11875.86,11657.74,475849.62,11876.24,11661.11,475575.84
72336618,11868.20,11654.91,475091.56,11874.63,11659.87,475479.00
72954720,11870.42,11650.99,475143.18,11873.79,11658.09,475411.87
73572820,11874.85,11643.32,475726.87,11874.00,11655.14,475474.87
74190922,11873.40,11635.66,475392.53,11873.88,11651.25,475458.40
74809024,11873.40,11630.08,475490.28,11873.79,11647.01,475464.78
75427126,11881.80,11628.50,475423.71,11875.39,11643.31,475456.59
76045228,11877.38,11617.93,475524.12,11875.79,11638.23,475470.12
