16:09:42.807 -> Raw,Filtered
16:11:28.085 -> 2053731.50,2053206.37
16:11:28.852 -> 2053731.50,2053269.37
16:11:29.633 -> 2062874.37,2054421.87
16:11:30.399 -> 2062874.37,2055436.12
16:11:31.146 -> 2053731.50,2055231.50
16:11:31.883 -> 2053731.50,2055051.50
16:11:32.657 -> 2044642.87,2053802.37
16:11:33.429 -> 2044642.87,2052703.25
16:11:34.178 -> 2062874.37,2053923.75
16:11:34.928 -> 2053731.50,2053900.62
16:11:35.711 -> 2053731.50,2053880.25
16:11:36.449 -> 2044642.87,2052771.75
16:11:37.190 -> 2044642.87,2051796.25
16:11:37.981 -> 2044642.87,2050937.87
16:11:38.709 -> 2053731.50,2051273.12
16:11:39.469 -> 2035608.25,2049393.37
16:11:40.250 -> 2072072.00,2052114.75
16:11:40.994 -> 2062874.37,2053405.87
16:11:41.772 -> 2035608.25,2051270.12
