Date_Heure;W1_raw;W1_f;W2_raw;W2_f;W3_raw;W3_f;W4_raw;W4_f
2026-06-08 18:51:49;1016.00;1008.63;1016.00;1009.81;999.00;1008.48;1008.00;1009.53
2026-06-08 18:56:54;1009.00;1008.89;1012.00;1009.88;1011.00;1008.51;1007.00;1009.84
2026-06-08 19:01:59;1010.00;1008.68;1005.00;1009.64;1004.00;1009.05;1006.00;1009.78
2026-06-08 19:07:05;1011.00;1008.87;1011.00;1009.93;1007.00;1009.25;1014.00;1009.75
2026-06-08 19:12:10;1009.00;1009.14;1009.00;1009.31;1009.00;1009.35;1010.00;1009.50
2026-06-08 19:17:15;1011.00;1009.55;1010.00;1009.91;1020.00;1009.32;1011.00;1009.97
2026-06-08 19:22:21;1009.00;1009.35;1017.00;1009.76;1002.00;1008.60;1008.00;1009.50
2026-06-08 19:27:26;1005.00;1009.17;1006.00;1009.33;1004.00;1008.39;1011.00;1009.71
2026-06-08 19:32:32;1009.00;1009.21;1008.00;1009.57;1009.00;1008.51;1007.00;1009.20
2026-06-08 19:37:37;1015.00;1008.88;1006.00;1009.54;1006.00;1008.38;1009.00;1009.26
2026-06-08 19:42:42;1006.00;1009.35;1012.00;1009.23;1012.00;1008.59;1007.00;1009.14
2026-06-08 19:47:48;1008.00;1009.31;1007.00;1009.34;1008.00;1008.94;1011.00;1008.96
2026-06-08 19:52:53;1006.00;1008.68;1011.00;1009.49;1009.00;1008.72;1012.00;1009.56
2026-06-08 19:57:58;1000.00;1008.48;1005.00;1009.69;1008.00;1008.62;1008.00;1009.60
2026-06-08 20:03:04;1009.00;1008.98;1011.00;1010.06;1014.00;1009.05;1009.00;1009.85
2026-06-08 20:08:09;1005.00;1008.90;1007.00;1009.43;1010.00;1009.15;1006.00;1009.36
2026-06-08 20:13:14;1007.00;1008.72;1011.00;1009.48;1016.00;1009.08;1010.00;1009.76
2026-06-08 20:18:20;1008.00;1008.99;1008.00;1009.23;1007.00;1008.52;1010.00;1009.14
2026-06-08 20:23:25;1012.00;1008.58;1000.00;1008.93;1009.00;1008.49;1011.00;1009.34
2026-06-08 20:28:31;999.00;1008.62;1012.00;1009.06;1010.00;1008.72;1006.00;1009.27
2026-06-08 20:33:36;1011.00;1008.61;1012.00;1009.59;1005.00;1008.25;1014.00;1009.72
2026-06-08 20:38:41;1008.00;1008.27;1020.00;1009.72;1008.00;1008.54;1012.00;1009.43
2026-06-08 20:43:47;1008.00;1008.28;1014.00;1010.19;1008.00;1008.79;1012.00;1009.24
2026-06-08 20:48:52;1013.00;1008.71;1012.00;1010.19;1011.00;1009.04;1017.00;1009.60
2026-06-08 20:53:57;1005.00;1008.78;1007.00;1009.48;1007.00;1008.59;1006.00;1009.49
2026-06-08 20:59:03;1014.00;1008.79;1005.00;1009.47;1012.00;1009.07;1014.00;1009.19
2026-06-08 21:04:08;1010.00;1008.96;1012.00;1009.30;1009.00;1009.25;1012.00;1009.43
2026-06-08 21:09:13;1007.00;1008.75;1017.00;1009.56;1006.00;1009.16;1007.00;1009.66
2026-06-08 21:14:19;1008.00;1009.26;1015.00;1009.88;1015.00;1008.98;1012.00;1009.66
2026-06-08 21:19:24;1009.00;1009.26;1014.00;1009.88;1004.00;1008.84;1010.00;1010.17
2026-06-08 21:24:29;1012.00;1008.97;1009.00;1009.48;1010.00;1008.83;1004.00;1009.63
2026-06-08 21:29:35;1004.00;1008.59;1004.00;1009.53;1016.00;1008.73;1006.00;1009.28
2026-06-08 21:34:40;1014.00;1008.85;1013.00;1009.36;1002.00;1008.30;1010.00;1009.22
2026-06-08 21:39:46;1005.00;1008.85;1010.00;1009.07;1008.00;1008.47;1014.00;1009.57
2026-06-08 21:44:51;1011.00;1008.79;1001.00;1009.24;1008.00;1008.81;1007.00;1009.88
2026-06-08 21:49:56;1009.00;1008.94;1007.00;1009.06;1011.00;1009.03;1010.00;1009.79
2026-06-08 21:55:02;1008.00;1008.81;1009.00;1009.25;1010.00;1009.09;1012.00;1009.55
2026-06-08 22:00:07;1006.00;1008.50;1008.00;1009.12;1007.00;1009.03;1011.00;1009.30
2026-06-08 22:05:12;1010.00;1008.93;1011.00;1009.25;1010.00;1009.06;1010.00;1009.25
2026-06-08 22:10:18;1009.00;1008.84;1007.00;1009.44;1005.00;1008.41;1007.00;1009.13
2026-06-08 22:15:23;1009.00;1008.87;1008.00;1009.56;1005.00;1008.70;1009.00;1009.62
2026-06-08 22:20:28;1010.00;1008.97;1011.00;1009.68;1010.00;1008.73;1012.00;1010.04
2026-06-08 22:25:34;1008.00;1008.83;1010.00;1009.38;1011.00;1008.63;1017.00;1009.57
2026-06-08 22:30:39;1010.00;1009.05;1012.00;1009.40;1008.00;1008.88;1009.00;1009.28
2026-06-08 22:35:44;1005.00;1009.20;1011.00;1009.84;1008.00;1008.85;1014.00;1009.73
2026-06-08 22:40:50;1009.00;1008.78;1014.00;1009.62;1013.00;1008.39;1017.00;1009.54
2026-06-08 22:45:55;1014.00;1009.10;1013.00;1009.99;1014.00;1008.21;1007.00;1009.75
2026-06-08 22:51:01;1010.00;1009.27;1009.00;1009.45;1010.00;1008.24;1009.00;1009.95
2026-06-08 22:56:06;1002.00;1009.08;1013.00;1009.90;1007.00;1008.61;1011.00;1009.46
2026-06-08 23:01:11;1013.00;1009.23;1008.00;1009.78;1007.00;1008.45;1007.00;1009.42
2026-06-08 23:06:17;1009.00;1008.78;1007.00;1009.47;1008.00;1008.41;1009.00;1009.05
2026-06-08 23:11:22;1006.00;1008.69;1013.00;1009.29;1008.00;1008.46;1009.00;1008.95
2026-06-08 23:16:27;1008.00;1008.75;1008.00;1009.24;1008.00;1008.59;1010.00;1009.31
2026-06-08 23:21:33;1014.00;1008.78;1010.00;1009.68;1012.00;1008.57;1006.00;1009.30
2026-06-08 23:26:38;1006.00;1008.93;1003.00;1009.42;1005.00;1008.64;1008.00;1009.17
2026-06-08 23:31:43;1009.00;1008.65;1010.00;1009.51;1012.00;1008.85;1003.00;1009.32
2026-06-08 23:36:49;1007.00;1008.85;1012.00;1009.65;1013.00;1008.41;1012.00;1009.09
2026-06-08 23:41:54;1013.00;1008.90;1014.00;1009.65;1009.00;1008.21;1008.00;1009.35
2026-06-08 23:46:59;1011.00;1009.07;1012.00;1009.69;1018.00;1008.56;1010.00;1009.26
2026-06-08 23:52:05;1006.00;1008.62;1008.00;1009.53;1001.00;1008.46;1001.00;1009.23
2026-06-08 23:57:10;1012.00;1008.56;1011.00;1009.65;1006.00;1008.51;1003.00;1009.43
2026-06-09 00:02:15;1007.00;1008.30;1011.00;1009.82;1004.00;1008.35;1009.00;1009.56
2026-06-09 00:07:21;1017.00;1008.18;1013.00;1009.38;1009.00;1008.20;1009.00;1009.76
2026-06-09 00:12:26;1008.00;1008.87;1002.00;1009.43;1010.00;1008.44;1011.00;1009.38
2026-06-09 00:17:32;1013.00;1009.17;1008.00;1009.79;1000.00;1008.22;1011.00;1009.70
2026-06-09 00:22:37;1009.00;1008.37;1015.00;1009.82;1009.00;1008.21;1009.00;1009.23
2026-06-09 00:27:42;1004.00;1008.40;1012.00;1010.07;1011.00;1008.13;1009.00;1009.39
2026-06-09 00:32:48;1008.00;1008.11;1011.00;1009.70;1000.00;1008.02;1014.00;1009.29
2026-06-09 00:37:53;1010.00;1008.35;1002.00;1009.53;1005.00;1008.32;1004.00;1008.83
2026-06-09 00:42:58;1010.00;1008.65;1006.00;1009.61;1004.00;1008.43;1005.00;1009.18
2026-06-09 00:48:04;1009.00;1008.61;1007.00;1009.63;1009.00;1008.66;1012.00;1009.30
2026-06-09 00:53:09;1012.00;1008.61;1011.00;1009.17;1011.00;1008.74;1011.00;1009.44
2026-06-09 00:58:14;1012.00;1009.02;1012.00;1009.57;1007.00;1008.55;1011.00;1009.40
2026-06-09 01:03:20;1010.00;1008.74;1014.00;1009.65;1001.00;1008.66;1009.00;1009.33
2026-06-09 01:08:25;1008.00;1008.47;1007.00;1009.52;1009.00;1008.55;1005.00;1009.18
2026-06-09 01:13:30;1005.00;1008.65;1013.00;1009.98;1013.00;1008.88;1010.00;1009.27
2026-06-09 01:18:36;1004.00;1008.68;1008.00;1009.32;1009.00;1008.63;1011.00;1009.39
2026-06-09 01:23:41;1006.00;1008.58;1009.00;1009.57;1002.00;1008.38;1015.00;1009.37
2026-06-09 01:28:47;1008.00;1008.64;1014.00;1009.35;1009.00;1008.50;1003.00;1009.19
2026-06-09 01:33:52;1009.00;1008.88;1006.00;1009.25;1001.00;1008.26;1009.00;1009.10
2026-06-09 01:38:57;1005.00;1008.71;1009.00;1009.05;1009.00;1008.60;1013.00;1009.05
2026-06-09 01:44:03;1002.00;1008.54;1006.00;1008.84;1009.00;1008.17;1009.00;1008.85
