UnixTime;Station;MessageID;Sonde1;Sonde2;Sonde3;Sonde4;Sonde5;Sonde6;Sonde7;watermark
2313945145;WAOU1;28;426.51;40167932.00;18916.44;70279528.00;51528.46;286482.16;71969408.00;14217625.00
2313941504;WAOU1;29;426.81;42306684.00;19326.61;74547536.00;52506.48;295358.69;71315928.00;58872540.00
2313945145;WAOU1;30;426.81;40120004.00;19755.28;71722344.00;53507.39;303754.59;71121712.00;69277368.00
2313941504;WAOU1;31;426.41;42875584.00;20200.05;71472072.00;54525.95;312476.88;68303352.00;74986288.00
2313945145;WAOU1;32;426.71;40632976.00;20641.31;70526272.00;55561.67;321445.13;66830484.00;86508400.00
2313941504;WAOU1;33;426.41;40406168.00;21127.95;72898528.00;56675.88;331556.06;74494376.00;83742544.00
2313945145;WAOU1;34;425.72;37737464.00;21621.14;74606096.00;57846.59;342755.69;70090896.00;84713264.00
2313941504;WAOU1;35;426.90;41888532.00;22141.24;74171760.00;59147.96;354778.78;74712800.00;98742088.00
2313945145;WAOU1;36;425.03;41224312.00;22673.60;70822744.00;60500.44;366997.03;71121712.00;87027056.00
2313941504;WAOU1;37;427.30;40992500.00;23217.45;72228168.00;61992.73;381383.69;75375816.00;85706736.00
2313945145;WAOU1;38;426.41;39026360.00;23853.30;72433504.00;63741.48;397705.31;73107688.00;99512824.00
2313941504;WAOU1;39;427.30;40359236.00;24433.84;75430232.00;65323.82;413599.63;75490184.00;82317680.00
2313945145;WAOU1;40;427.69;38219132.00;25076.10;75207608.00;67023.16;431496.94;73904160.00;90823408.00
2313941504;WAOU1;41;426.41;42113576.00;25688.11;76111624.00;68708.85;449417.16;73742440.00;93655352.00
2313945145;WAOU1;42;427.80;40926512.00;26302.72;74061336.00;70265.29;468620.19;73794528.00;98648912.00
2313941504;WAOU1;43;428.28;41342020.00;26921.48;73638480.00;71742.55;489407.34;75045536.00;97699312.00
2313945145;WAOU1;44;428.47;41511580.00;27536.02;76000896.00;73292.97;511996.38;79992416.00;104610960.00
2313941504;WAOU1;45;429.76;41819640.00;28183.67;75099480.00;74976.60;536925.38;76228240.00;95052016.00
2313945145;WAOU1;46;429.37;39236464.00;28832.57;73846688.00;76781.80;565267.75;76228240.00;90500984.00
2313941504;WAOU1;47;429.26;39618284.00;29532.01;75099480.00;78755.75;598514.94;71073320.00;91068712.00
2313945145;WAOU1;48;427.99;40454780.00;30280.52;76799776.00;80985.04;637643.19;72584488.00;86947416.00
2313941504;WAOU1;49;428.19;40992500.00;31080.37;74061336.00;83343.27;684841.13;77916592.00;93320896.00
2313945145;WAOU1;50;427.20;40374864.00;31987.06;73369552.00;86065.47;741739.63;73904160.00;118037850.00
2313941504;WAOU1;51;428.47;41612656.00;33032.32;74659408.00;89342.03;813999.75;75099480.00;96767808.00
2313945145;WAOU1;52;428.47;40390512.00;34180.23;76111624.00;93051.82;904174.13;75045536.00;112695130.00
2313941504;WAOU1;53;428.28;41309256.00;35406.90;73369552.00;96977.45;1011004.60;73904160.00;109211110.00
2313945145;WAOU1;54;427.99;38832956.00;36694.16;74388296.00;101137.66;1129399.00;73794528.00;102407930.00
