2313943477;WAOU1;34;0.00:318.41:0.00:211.01:11.57:288.55:9.68:393.12
2313943537;WAOU1;35;0.00:166.52:0.00:237.10:10.62:288.55:12.51:423.09
2313943596;WAOU1;36;0.00:299.06:0.00:246.89:9.68:259.40:7.79:402.79
2313943656;WAOU1;37;0.00:298.11:0.00:146.22:16.40:255.51:13.57:353.34
2313943716;WAOU1;38;0.00:210.07:0.00:235.21:8.73:336.94:14.52:364.91
2313943776;WAOU1;39;0.00:262.35:0.00:188.83:13.57:302.95:11.57:354.41
2313943836;WAOU1;40;0.00:219.75:0.00:172.31:7.79:338.83:11.57:374.70
2313943895;WAOU1;41;0.00:275.81:0.00:253.62:12.51:269.20:11.57:327.26
2313943955;WAOU1;42;0.00:281.71:0.00:237.10:19.35:431.82:6.84:359.24
2313944015;WAOU1;43;0.00:245.95:0.00:158.73:4.84:323.37:13.57:473.48
2313944075;WAOU1;44;0.00:245.95:0.00:240.05:14.52:311.80:9.68:351.46
2313944135;WAOU1;45;0.00:243.94:0.00:215.85:22.31:280.76:13.57:341.66
2313944194;WAOU1;46;0.00:265.30:0.00:233.20:14.52:252.67:7.79:341.66
2313944254;WAOU1;47;0.00:260.35:0.00:256.45:9.68:314.63:10.62:362.08
2313944314;WAOU1;48;0.00:227.54:0.00:204.29:14.52:350.51:6.84:369.87
2313944374;WAOU1;49;0.00:250.79:0.00:240.99:21.36:399.84:7.79:363.02
2313944434;WAOU1;50;0.00:219.75:0.00:230.37:8.73:354.41:14.52:310.74
2313944493;WAOU1;51;0.00:221.64:0.00:203.34:5.90:346.62:7.79:316.52
2313944553;WAOU1;52;0.00:192.60:0.00:258.46:11.57:369.87:5.90:391.11
2313944613;WAOU1;53;0.00:249.84:0.00:200.39:13.57:313.69:4.84:404.68
2313944673;WAOU1;54;0.00:297.17:0.00:221.64:5.90:316.52:4.84:329.15
2313944733;WAOU1;55;0.00:184.93:0.00:312.75:5.90:327.26:15.46:312.75
2313944792;WAOU1;56;0.00:257.51:0.00:214.91:15.46:393.12:8.73:315.58
2313944852;WAOU1;57;0.00:245.95:0.00:244.89:6.84:382.38:22.31:328.21
2313944912;WAOU1;58;0.00:231.31:0.00:187.88:9.68:282.65:8.73:325.26
2313944972;WAOU1;59;0.00:258.46:0.00:216.80:13.57:252.67:9.68:395.00
2313945032;WAOU1;60;0.00:286.55:0.00:264.24:9.68:378.60:11.57:364.91
2313945091;WAOU1;61;0.00:276.87:0.00:271.09:13.57:355.35:6.84:353.34
2313945151;WAOU1;62;0.00:281.71:0.00:176.20:13.57:338.83:17.47:403.74
2313945211;WAOU1;63;0.00:220.69:0.94:203.34:10.62:320.42:9.68:438.55
2313945271;WAOU1;64;0.00:240.05:0.00:196.50:5.90:296.22:6.84:290.44
2313945331;WAOU1;65;0.00:401.85:0.00:240.05:18.41:252.67:9.68:376.59
2313945390;WAOU1;66;0.00:231.31:0.00:187.88:16.40:317.47:7.79:350.51
2313945450;WAOU1;67;0.00:235.21:0.00:229.43:20.30:317.47:5.90:326.20
2313945510;WAOU1;68;0.00:246.89:0.00:242.05:12.51:300.12:8.73:449.29
2313945570;WAOU1;69;0.00:273.92:0.00:199.45:11.57:297.17:13.57:423.09
2313945630;WAOU1;70;0.00:272.97:0.00:239.10:13.57:248.78:11.57:374.70
2313945689;WAOU1;71;0.00:247.84:0.00:175.14:22.31:299.06:8.73:342.72
2313945749;WAOU1;72;0.00:269.20:0.00:181.04:7.79:340.72:20.30:381.43
2313945809;WAOU1;73;0.00:254.56:0.00:206.18:10.62:305.90:11.57:405.63
2313945869;WAOU1;74;0.00:244.89:0.00:274.86:4.84:259.40:8.73:314.63
2313945929;WAOU1;75;0.00:281.71:0.00:163.57:6.84:281.71:11.57:293.39
2313945988;WAOU1;76;0.00:254.56:0.00:254.56:14.52:338.83:12.51:366.92
2313946048;WAOU1;77;0.00:224.59:0.00:205.23:14.52:252.67:12.51:316.52
2313946108;WAOU1;78;0.00:289.50:0.00:181.04:11.57:326.20:9.68:345.55
2313946168;WAOU1;79;0.00:238.16:0.00:275.81:6.84:247.84:7.79:365.97
2313946227;WAOU1;80;0.00:262.35:0.00:244.89:15.46:318.41:8.73:424.15
2313946287;WAOU1;81;0.00:243.94:0.00:212.90:16.40:273.92:13.57:291.38
2313946347;WAOU1;82;0.00:257.51:0.00:272.97:6.84:318.41:3.89:360.19
2313946407;WAOU1;83;0.00:298.11:0.00:302.95:8.73:324.31:11.57:274.86
2313946467;WAOU1;84;0.00:331.16:0.00:205.23:2.01:313.69:11.57:392.05
2313946526;WAOU1;85;0.00:233.20:0.00:245.95:16.40:306.84:13.57:399.84
2313946586;WAOU1;86;0.00:234.26:0.00:208.18:15.46:304.96:14.52:371.75
