15:26:39.783 -> Raw,Filtered
15:27:11.193 -> 1906250.00,1902640.62
15:27:11.413 -> 1906250.00,1903073.75
15:27:11.649 -> 1906250.00,1903454.87
15:27:11.881 -> 1906250.00,1903790.25
15:27:12.116 -> 1906250.00,1904085.37
15:27:12.336 -> 1906250.00,1904345.12
15:27:12.574 -> 1906250.00,1904573.75
15:27:12.811 -> 1906250.00,1904774.87
15:27:13.053 -> 1906250.00,1904951.87
15:27:13.324 -> 1906250.00,1905107.62
15:27:20.195 -> 1906250.00,1905783.25
15:27:20.413 -> 1906250.00,1905839.25
15:27:20.685 -> 1906250.00,1905888.50
15:27:20.926 -> 1906250.00,1905931.87
15:27:21.130 -> 1906250.00,1905970.00
15:27:21.391 -> 1906250.00,1906003.62
15:27:21.605 -> 1906250.00,1906033.12
15:27:21.871 -> 1906250.00,1906059.12
15:27:22.080 -> 1906250.00,1906082.00
15:27:22.338 -> 1906250.00,1906102.12
15:27:22.556 -> 1906250.00,1906119.87
15:27:22.833 -> 1906250.00,1906135.50
15:27:23.056 -> 1906250.00,1906149.25
15:27:23.269 -> 1906250.00,1906161.37
15:27:23.517 -> 1906250.00,1906172.00
15:27:23.783 -> 1906250.00,1906181.37
15:27:24.006 -> 1906250.00,1906189.62
15:27:24.219 -> 1906250.00,1906196.87
15:27:24.488 -> 1906250.00,1906203.25
15:27:24.732 -> 1906250.00,1906208.87
15:27:24.973 -> 1906250.00,1906213.75
15:27:25.184 -> 1906250.00,1906218.12
15:27:25.448 -> 1906250.00,1906222.00
15:27:25.669 -> 1906250.00,1906225.37
15:27:29.468 -> 1906250.00,1907798.12
15:27:29.682 -> 1906250.00,1907612.37
15:27:29.960 -> 1898016.87,1906460.87
15:27:30.184 -> 1906250.00,1906435.50
15:27:30.396 -> 1906250.00,1906413.25
15:27:30.665 -> 1906250.00,1906393.62
15:27:30.894 -> 1906250.00,1906376.37
15:27:31.112 -> 1906250.00,1906361.25
15:27:31.377 -> 1906250.00,1906347.87
15:27:31.594 -> 1906250.00,1906336.12
15:27:31.864 -> 1906250.00,1906325.75
15:27:32.099 -> 1906250.00,1906316.62
15:27:32.328 -> 1906250.00,1906308.62
15:27:32.548 -> 1906250.00,1906301.62
15:27:32.771 -> 1906250.00,1906295.37
15:27:33.031 -> 1906250.00,1906289.87
15:27:33.265 -> 1906250.00,1906285.12
15:27:33.509 -> 1906250.00,1906280.87
15:27:33.724 -> 1906250.00,1906277.12
15:27:33.993 -> 1906250.00,1906273.87
15:27:34.199 -> 1906250.00,1906271.00
15:27:34.432 -> 1906250.00,1906268.50
15:27:34.675 -> 1906250.00,1906266.25
15:27:34.908 -> 1906250.00,1906264.25
15:27:35.150 -> 1914529.75,1907256.00
15:28:04.399 -> 1914529.75,1914462.75
15:28:04.629 -> 1914529.75,1914470.75
15:28:04.850 -> 1914529.75,1914477.75
15:28:05.127 -> 1914529.75,1914484.00
15:28:05.322 -> 1914529.75,1914489.50
15:28:05.592 -> 1914529.75,1914494.25
15:28:05.829 -> 1914529.75,1914498.50
15:28:06.051 -> 1914529.75,1914502.25
15:28:06.272 -> 1914529.75,1914505.50
15:28:06.544 -> 1914529.75,1914508.50
15:28:06.762 -> 1914529.75,1914511.00
15:28:06.989 -> 1914529.75,1914513.25
15:28:07.258 -> 1914529.75,1914515.25
15:28:07.478 -> 1914529.75,1914517.00
15:28:07.726 -> 1914529.75,1914518.50
15:28:07.939 -> 1914529.75,1914519.75
15:28:08.203 -> 1914529.75,1914521.00
15:28:08.414 -> 1914529.75,1914522.00
15:28:08.660 -> 1914529.75,1914523.00
15:28:08.917 -> 1914529.75,1914523.75
15:28:09.147 -> 1914529.75,1914524.50
15:28:09.374 -> 1914529.75,1914525.00
15:28:09.620 -> 1914529.75,1914525.50
15:28:09.846 -> 1898016.87,1912544.37
15:28:10.105 -> 1914529.75,1912782.50
15:28:10.314 -> 1914529.75,1912992.25
15:28:10.571 -> 1914529.75,1913176.75
